commodity,date,unit,min_price,max_price,avg_price,z_score
Banana,4/8/2022,Doz,200,210,205.0,8.385081092838515
Mushroom(Button),10/14/2021,KG,700,800,750.0,7.479035797795897
Pointed Gourd(Local),2/5/2021,Kg,280,300,290.0,6.936449980731872
Fish Fresh(Bachuwa),3/18/2021,KG,130,135,132.5,-6.570304958059537
Potato Red(Mude),2/18/2022,Kg,22,25,23.5,-6.566855423591446
Tamarind,4/18/2022,Kg,180,200,190.0,6.113804538161549
Tamarind,3/26/2022,Kg,180,200,190.0,6.113804538161549
Tamarind,3/30/2022,Kg,180,200,190.0,6.113804538161549
Tamarind,3/29/2022,Kg,180,200,190.0,6.113804538161549
Tamarind,4/16/2022,Kg,180,200,190.0,6.113804538161549
Tamarind,3/28/2022,Kg,180,200,190.0,6.113804538161549
Mustard Leaf,9/19/2021,Kg,140,150,145.0,6.009499190671525
Mustard Leaf,9/21/2021,Kg,140,150,145.0,6.009499190671525
Potato Red(Mude),3/14/2022,Kg,25,27,26.0,-5.843053723596396
Mushroom(Button),10/13/2021,KG,600,700,650.0,5.731725935624118
Barela,9/24/2021,Kg,180,200,190.0,5.7132882125660664
Guava,3/5/2021,Kg,280,300,290.0,5.673981875990081
Fish Fresh(Rahu),4/4/2022,KG,350,380,365.0,5.5725733565934386
Garlic Green,10/16/2021,Kg,600,700,650.0,5.52090449958229
Garlic Green,10/17/2021,Kg,600,700,650.0,5.52090449958229
Garlic Green,10/15/2021,Kg,600,700,650.0,5.52090449958229
Gundruk,12/26/2021,Kg,350,400,375.0,5.395298326247254
Orange(Indian),5/23/2021,Kg,300,320,310.0,5.378423757633496
Lettuce,10/9/2021,Kg,800,900,850.0,5.340628085026244
Lettuce,10/3/2021,Kg,800,900,850.0,5.340628085026244
Lettuce,10/10/2021,Kg,800,900,850.0,5.340628085026244
Lettuce,10/2/2021,Kg,800,900,850.0,5.340628085026244
Lettuce,10/1/2021,Kg,800,900,850.0,5.340628085026244
Mango(Calcutte),3/22/2022,Kg,400,450,425.0,5.30666217198832
Mango(Calcutte),3/23/2022,Kg,400,450,425.0,5.30666217198832
Guava,3/6/2021,Kg,250,300,275.0,5.179426503869501
Guava,8/24/2021,Kg,250,300,275.0,5.179426503869501
Pointed Gourd(Local),2/28/2021,Kg,230,240,235.0,5.11433774698738
Barela,9/1/2021,Kg,150,200,175.0,5.06553501449557
Barela,9/25/2021,Kg,150,200,175.0,5.06553501449557
Fish Fresh(Mungari),4/11/2022,KG,300,350,325.0,5.019207353169437
Yam,11/1/2021,Kg,140,160,150.0,4.73294211507068
Apple(Jholey),5/8/2021,Kg,280,300,290.0,4.6508212193416325
Lettuce,10/5/2021,Kg,700,800,750.0,4.605106622814025
Lettuce,10/4/2021,Kg,700,800,750.0,4.605106622814025
Chilli Green(Akbare),1/13/2021,KG,700,800,750.0,4.579791012220791
Neuro,4/16/2022,Kg,140,150,145.0,4.559991899152152
Neuro,4/17/2022,Kg,140,150,145.0,4.559991899152152
